Section	Metric	Value
GENOME MATCHING	Extracted rows	1584
GENOME MATCHING	Genome matched	1584
GENOME MATCHING	No genome match	0
GENOME MATCHING	No accessions supplied	0
GENOME MATCHING	Ambiguous genome match	0
GENOME MATCHING	Genome match rate	100.00%
GENOME + DRUG MATCHING	Matched genome, missing GT drug	198
S/I/R/NS/NR EXTRACTION	LLM categorical calls	1386
S/I/R/NS/NR EXTRACTION	Correct calls	1364
S/I/R/NS/NR EXTRACTION	Incorrect calls	22
S/I/R/NS/NR EXTRACTION	Missing LLM calls	0
S/I/R/NS/NR EXTRACTION	Unrecognized LLM calls	0
S/I/R/NS/NR EXTRACTION	Extracted calls without GT	0
S/I/R/NS/NR EXTRACTION	Neither side has SIR value	0
S/I/R/NS/NR EXTRACTION	Drug absent from GT	198
S/I/R/NS/NR EXTRACTION	Genome not evaluable	0
S/I/R/NS/NR EXTRACTION	Categorical rows compared	1386
S/I/R/NS/NR EXTRACTION	GT categorical values avail.	1386
S/I/R/NS/NR EXTRACTION	Accuracy when comparable	98.41%
S/I/R/NS/NR EXTRACTION	LLM categorical coverage	100.00%
S/I/R/NS/NR EXTRACTION	Overall correct extraction	98.41%
MIC EXTRACTION	LLM MIC values	1386
MIC EXTRACTION	Correct MICs	759
MIC EXTRACTION	Incorrect MICs	627
MIC EXTRACTION	Missing LLM MICs	0
MIC EXTRACTION	Extracted MICs without GT	0
MIC EXTRACTION	Neither side has MIC value	0
MIC EXTRACTION	Drug absent from GT	198
MIC EXTRACTION	Genome not evaluable	0
MIC EXTRACTION	MIC rows compared	1386
MIC EXTRACTION	GT MIC values available	1386
MIC EXTRACTION	MIC accuracy when comparable	54.76%
MIC EXTRACTION	LLM MIC coverage	100.00%
MIC EXTRACTION	Overall correct MIC	54.76%
MIC EXTRACTION	Detailed results written to	accuracies/29729180.mic.tsv
